HIJOS;ACTIVIDAD_ECONOMICA;GRADO_APROBADO;HORAS_SEM_TRABAJA;GANANCIA_NETA;MUNICIPIO_NACIMIENTO;NIVEL_EDUCATIVO;ESTRATO_TARIFA;DEPARTAMENTO;SACTISFACCION_INGRESO;SACTISFACCION_SALUD;SACTISFACCION_TRABAJO;ESCALON_VIDA;MATERIAL_PISOS;MATERIAL_TECHO;ESTADO_CIVIL;NIVEL_EDUCACION_PADRE;NIVEL_EDUCACION_MADRE;EDAD
1;4722;2;12;200000;;7;3;13;10;8;10;10;4;3;2;10;1;44
5;7120;11;48;;;5;2;13;6;8;7;7;4;3;6;2;2;61
0;8610;3;48;;13468;9;3;13;3;7;4;5;4;3;5;2;3;37
0;7729;5;10;568000;76823;3;2;13;10;10;10;10;6;3;5;9;9;73
1;5611;3;11;400000;;3;2;13;9;10;8;8;4;1;3;10;10;74
3;4664;5;70;4000000;;3;3;13;7;10;3;9;4;4;2;2;2;41
0;4711;11;54;;13549;5;2;13;3;9;7;5;4;3;4;3;3;26
2;4921;11;84;700000;;5;2;13;5;9;5;8;4;4;2;2;4;24
1;3210;5;48;1800000;;3;2;13;8;7;7;8;4;1;3;1;2;60
2;4921;3;96;800000;;7;2;13;8;8;8;6;4;3;6;1;2;35
2;8010;11;48;;;5;2;13;8;10;10;10;4;3;2;8;4;35
1;9700;7;12;;13244;4;2;13;4;8;8;5;4;3;2;2;10;55
0;3312;11;20;500000;;5;2;13;5;8;6;6;4;1;2;1;4;34
0;8530;5;56;;;11;2;13;8;7;8;8;4;3;5;2;1;46
1;8530;4;59;;;3;2;13;5;8;5;7;4;3;4;9;9;50
1;9007;1;15;1000000;;6;9;15;6;10;10;5;4;2;2;4;8;31
0;8530;3;48;;;13;3;15;7;5;8;8;5;2;5;1;9;63
4;9529;5;38;400000;41503;3;2;50;3;5;5;4;4;3;4;2;2;36
4;4711;7;91;1800000;5697;4;3;54;10;7;9;10;4;1;6;1;1;42
0;4669;11;42;;;5;2;52;8;7;8;7;4;1;2;2;4;50
2;9521;5;44;900000;;11;3;52;7;8;7;8;4;1;6;9;9;59
2;8530;2;44;;17001;13;3;52;7;7;7;6;4;1;6;8;8;36
0;8621;6;50;;68001;11;0;95;7;10;10;9;4;3;4;8;4;60
2;4210;9;60;;50318;4;2;95;10;10;10;10;4;1;6;2;3;30
1;4781;2;49;160000;15135;3;1;95;4;4;3;5;6;4;6;1;1;48
0;9601;2;36;;63130;3;2;95;6;4;8;7;6;4;2;1;1;47
0;4111;3;54;1050000;;3;1;95;7;7;7;7;6;4;2;10;10;41
1;4620;2;48;500000;25438;3;1;95;6;8;8;8;6;4;2;10;1;53
0;5619;1;42;828000;50400;7;1;95;6;10;8;7;4;4;1;6;3;24
0;4111;5;48;;15104;3;1;95;7;7;10;9;6;4;2;2;1;41
1;8121;5;20;350000;15224;3;1;95;5;7;10;9;6;4;5;1;1;49
5;4111;7;56;0;;4;1;95;5;8;5;6;6;1;1;1;1;40
2;8121;1;9;200000;50313;6;1;95;5;8;8;7;6;4;5;4;9;35
0;8610;4;48;;11001;11;1;95;6;8;7;6;6;3;5;4;4;25
0;4631;1;36;;63130;3;1;95;9;9;9;10;6;4;4;9;9;53
0;4711;4;48;;;3;1;95;7;8;8;8;6;4;5;1;10;33
0;8610;3;48;;50683;7;1;95;10;8;10;8;4;4;4;10;2;37
0;8610;1;52;;95025;7;1;95;10;10;10;10;4;4;6;1;1;24
1;4321;1;48;400000;;7;2;95;9;7;10;8;4;3;6;1;1;26
0;4711;5;30;400000;54172;3;1;95;4;6;5;5;4;4;6;1;1;73
1;4711;5;72;420000;15897;3;3;95;4;5;6;8;6;4;5;9;9;58
2;161;5;48;200000;15897;3;1;95;4;7;4;6;6;1;6;1;1;52
1;8010;11;50;;95025;5;2;95;4;9;10;4;6;4;2;1;9;44
1;4773;2;48;;;7;1;95;4;10;4;6;6;4;5;3;2;32
2;4921;3;70;1000000;;7;2;13;6;9;4;5;4;1;2;10;10;62
2;4921;11;48;;;5;2;13;6;8;7;7;4;3;4;4;4;47
2;4921;8;48;2000000;13810;4;1;13;6;8;8;7;4;4;6;9;2;51
1;8412;5;40;;8001;11;1;13;9;5;9;8;4;1;6;4;4;29
3;3520;11;46;;;5;1;13;8;8;8;8;4;1;6;4;3;40
1;8530;11;48;;13760;5;1;13;9;9;8;10;4;1;6;4;1;61
0;5611;10;56;;;5;1;13;9;9;8;8;4;3;3;1;1;52
2;4719;6;42;100000;;4;1;13;99;8;5;10;4;3;5;9;9;46
2;5611;11;28;300000;;5;1;13;99;8;5;9;4;3;6;10;10;37
2;311;6;5;150000;;4;1;13;4;6;5;5;6;3;6;10;10;54
3;5611;5;42;828116;;3;0;13;4;6;5;8;6;3;2;2;1;34
0;9529;3;15;250000;;3;1;13;3;4;8;9;6;3;4;1;1;70
2;1921;11;40;;;5;1;13;7;10;9;7;4;3;6;2;2;24
0;4799;4;70;108000;;3;1;13;10;10;10;8;4;3;2;10;2;51
1;9329;3;48;1050000;13657;3;4;13;1;0;0;0;4;4;2;9;9;59
0;129;6;9;400000;70702;4;4;13;5;5;0;3;6;3;2;10;9;70
0;9329;5;48;762000;13244;3;4;13;9;9;9;9;4;6;4;1;1;57
0;113;8;48;829000;13647;4;4;13;9;10;10;10;4;3;6;9;2;52
0;111;5;12;600000;13001;3;4;13;10;10;10;10;6;4;4;9;9;52
0;4755;6;48;800000;5890;4;2;44;8;8;5;10;4;1;6;9;9;48
2;1081;3;36;480000;;7;2;44;6;5;6;8;6;1;6;9;9;51
2;5611;3;16;300000;;7;2;44;5;5;7;8;6;1;4;2;2;35
2;4520;2;60;900000;;9;2;44;8;9;10;8;4;1;2;2;4;32
3;3110;1;72;400000;8001;7;2;44;6;7;6;10;6;3;4;2;2;31
3;4512;5;1;1500000;8001;11;2;44;8;10;8;7;4;1;4;4;4;41
3;4921;5;52;832000;;3;2;44;7;5;10;7;6;3;2;2;2;56
0;9200;3;80;1000000;68179;3;2;44;8;8;8;8;4;3;2;9;9;57
3;4711;11;14;100000;23001;5;1;44;4;7;5;5;6;4;2;10;10;49
0;141;5;12;2800000;;11;2;44;10;7;9;8;4;3;6;9;9;69
4;122;3;48;;47053;3;0;44;7;8;8;8;7;4;2;10;10;38
2;4111;11;84;;;5;2;44;6;7;8;9;6;3;2;10;1;35
3;1392;7;21;20000;;4;1;44;7;0;5;5;7;4;5;2;4;30
2;9700;4;30;;44874;3;0;44;7;8;5;10;6;4;4;10;9;43
2;1410;7;27;94000;44279;4;1;44;0;10;0;3;6;4;2;10;10;49
0;8553;11;42;800000;20001;5;3;44;8;2;8;10;4;3;6;9;9;57
0;5221;5;70;;;3;3;44;0;10;10;8;6;4;5;10;10;37
0;5613;2;20;400000;44855;7;3;44;0;8;10;7;6;3;2;2;2;49
1;4731;10;28;120000;;5;3;44;5;9;0;5;6;3;4;9;2;22
0;4321;5;48;;;11;3;44;5;9;6;6;6;3;5;4;4;35
2;5611;5;48;;47460;3;0;44;7;10;10;10;7;4;2;9;1;25
4;161;2;48;200000;;3;0;44;5;8;9;10;7;4;2;9;9;31
2;4721;3;48;600000;;3;1;44;6;8;7;6;7;4;3;2;2;48
0;4520;5;91;400000;47189;3;0;44;4;10;5;7;7;4;4;10;3;24
3;4111;9;10;300000;;4;0;44;6;10;10;5;7;4;2;2;2;40
1;1410;4;5;180000;;3;2;44;6;8;4;5;6;3;4;10;10;56
1;5611;11;9;700000;;5;1;44;9;9;9;9;4;3;1;3;2;33
0;4542;7;8;;;4;1;44;4;7;3;6;4;3;1;3;3;26
2;5611;9;10;600000;8433;4;1;44;6;8;8;9;4;3;4;1;4;52
0;5630;4;55;;;11;2;44;5;9;8;7;4;3;5;4;4;25
0;5630;9;8;;;4;2;44;7;7;7;7;6;3;5;10;10;23
0;8610;2;40;;;7;3;44;5;9;9;10;4;3;4;1;4;39
1;8530;5;48;;13468;11;3;44;9;7;9;8;4;1;4;2;2;62
0;4111;13;8;;;5;1;70;99;10;0;7;6;3;6;1;1;32
2;4723;11;5;200000;;5;1;70;2;8;5;5;6;4;2;1;1;29
1;4330;11;42;600000;;5;1;70;3;9;4;7;6;4;2;1;4;25
0;4723;9;15;220000;;4;1;70;6;8;4;8;6;3;6;1;1;65
1;9602;11;35;450000;;5;1;70;6;9;5;8;6;3;4;9;9;37
3;5611;1;49;828116;70215;3;1;70;8;6;5;5;6;4;6;9;2;46
0;5621;11;12;500000;;5;1;70;6;8;6;9;4;3;6;1;1;63
3;4921;11;48;2000000;41001;5;2;18;5;9;7;10;4;4;6;2;2;39
1;4923;5;40;400000;;3;1;18;5;9;5;9;5;4;2;1;2;32
1;161;1;45;;86571;3;1;18;9;9;8;6;6;4;2;9;2;20
0;4520;9;63;1200000;41020;4;1;18;7;8;7;9;4;4;1;9;1;39
2;8010;2;48;;;7;1;18;6;6;8;7;6;4;6;9;1;34
1;1081;11;60;250000;;5;1;18;2;4;0;5;6;4;1;9;10;46
1;1410;2;15;500000;;3;1;18;7;6;7;9;6;4;5;1;1;57
0;8121;4;36;350000;;3;1;18;3;5;3;7;6;4;4;1;1;48
4;5511;4;48;;18150;3;1;18;10;10;10;10;6;4;4;10;10;36
0;161;2;40;600000;41020;3;1;18;7;7;8;7;6;4;5;1;1;50
2;6110;2;48;;41001;7;3;18;7;10;8;9;4;4;1;1;2;28
0;8610;11;54;;;5;3;18;5;9;10;8;4;4;2;10;10;59
2;4792;5;60;;11001;11;3;18;8;6;8;10;4;4;4;4;3;35
0;7500;5;10;2000000;;11;2;18;7;7;7;8;6;4;5;1;1;27
3;8121;1;5;50000;;3;1;18;7;7;7;6;6;4;5;9;9;34
0;9609;3;12;30000;41026;3;1;18;8;6;6;4;5;4;5;10;10;61
2;161;3;36;600000;;3;1;18;7;9;7;8;7;4;2;9;9;50
2;4330;4;36;300000;41396;3;1;18;6;5;7;6;5;4;2;9;1;47
1;6423;11;24;;18592;5;1;18;5;10;5;6;6;4;5;10;1;26
0;150;8;60;;18247;4;1;18;7;8;8;7;6;4;2;1;1;25
1;4759;11;35;;;5;1;18;6;7;5;6;6;4;5;1;1;26
0;4774;8;63;1000000;;4;2;18;10;10;10;9;4;4;5;1;1;49
1;4921;5;56;1000000;18256;3;3;18;6;7;8;7;4;3;2;1;1;44
0;141;2;35;;;3;3;18;4;7;3;6;6;4;5;1;1;53
1;8121;1;6;200000;73616;3;3;18;7;7;7;6;6;4;4;10;10;41
0;5611;1;35;300000;73563;3;3;18;3;3;5;5;6;4;5;9;10;76
0;141;1;18;99;41306;3;3;18;7;4;8;6;6;3;3;9;9;69
2;4520;1;56;500000;;7;1;18;6;9;9;9;6;4;2;6;8;26
2;4111;11;40;200000;17524;5;1;18;0;5;5;7;4;4;2;1;1;54
1;8010;6;60;800000;11001;4;1;18;9;9;9;10;6;4;6;9;9;48
1;4390;3;50;400000;18592;3;3;18;9;9;9;10;6;4;6;10;9;53
4;4752;3;4;;20001;3;1;18;3;6;0;5;4;4;2;2;2;45
1;4923;9;48;2000000;76736;4;1;18;7;8;3;7;6;4;6;1;1;38
0;6820;5;10;300000;41801;3;2;18;7;8;5;9;4;4;6;9;10;71
3;4921;3;70;300000;11001;3;1;18;6;6;2;3;6;4;6;3;2;59
0;4731;9;54;;;4;1;18;6;9;8;9;6;4;5;1;1;30
3;4111;4;48;800000;;3;1;18;5;10;7;7;4;4;2;2;9;49
0;4520;9;50;2000000;;4;1;18;10;10;10;10;4;4;2;2;2;32
3;4711;10;84;;18592;5;1;18;7;10;10;5;4;4;2;3;9;28
2;5613;3;54;300000;;3;1;18;4;6;7;8;6;4;6;10;1;44
1;4542;11;40;300000;76041;5;1;18;5;5;5;10;4;4;6;2;2;49
2;9329;1;64;;41872;3;1;18;8;8;7;8;6;4;4;9;10;54
4;4631;5;105;1500000;18753;3;2;18;6;6;8;6;6;1;6;1;9;46
0;8530;2;25;;41359;13;2;18;9;9;8;10;6;4;5;8;8;45
0;161;9;40;400000;18592;4;1;18;4;5;0;8;6;4;5;9;9;35
0;161;1;25;98;41396;3;1;18;3;3;8;7;6;4;6;10;10;62
1;161;10;46;800000;18592;5;1;18;8;10;10;7;6;4;2;2;2;31
4;5613;4;15;600000;18610;3;1;18;5;7;5;7;6;4;4;10;1;32
2;161;8;54;750000;;4;1;18;7;10;6;7;5;4;2;9;3;20
3;141;3;56;1800000;17486;3;1;18;6;10;6;8;6;4;6;1;1;45
2;4711;11;45;800000;18094;5;1;18;6;6;7;7;6;4;4;10;10;47
1;161;2;50;600000;19517;3;1;18;10;10;10;10;5;4;6;1;1;70
0;161;7;46;300000;18001;4;1;18;7;8;7;7;7;4;4;1;4;28
1;4111;11;47;;18001;5;1;18;8;9;8;9;6;4;6;1;1;23
2;8121;1;3;100000;;3;1;18;6;6;10;6;6;4;4;1;1;49
0;4774;5;84;550000;73226;3;1;18;6;8;5;9;6;4;4;1;1;53
0;9200;5;8;400000;;3;1;18;5;4;6;7;6;4;5;10;9;49
3;8121;5;18;120000;;3;1;18;6;8;8;7;6;4;2;1;1;26
1;322;11;47;1200000;;5;2;18;7;6;6;7;6;4;2;2;2;54
1;6499;11;72;;;5;2;18;7;8;8;8;6;4;2;1;1;35
0;141;8;12;900000;;4;1;18;7;9;9;5;6;4;5;2;2;38
0;8121;5;35;300000;;3;1;18;6;8;8;7;6;4;3;9;2;53
0;9602;5;10;200000;;3;1;18;5;5;8;5;6;4;4;9;9;48
